income_decile,mean_rate
0,2118.159250373017
1,790.6390425657313
2,6007.038143763911
3,9132.30561071256
4,224.27719780141703
5,8020.621796236049
6,1099.3234702071638
7,1403.2147157505644
8,140.88934308073854
9,246.85493198215832
